Frame,L0_x,L0_y,L1_x,L1_y,L2_x,L2_y,L3_x,L3_y,L4_x,L4_y,L5_x,L5_y,L6_x,L6_y,L7_x,L7_y,L8_x,L8_y,L9_x,L9_y,L10_x,L10_y,L11_x,L11_y,L12_x,L12_y,L13_x,L13_y,L14_x,L14_y,L15_x,L15_y,L16_x,L16_y,L17_x,L17_y,L18_x,L18_y,L19_x,L19_y,L20_x,L20_y,L21_x,L21_y,L22_x,L22_y,L23_x,L23_y,L24_x,L24_y,L25_x,L25_y,L26_x,L26_y,L27_x,L27_y,L28_x,L28_y,L29_x,L29_y,L30_x,L30_y,L31_x,L31_y,L32_x,L32_y
30,977.14,719.81,960.33,718.62,959.15,719.82,957.89,721.11,960.0,720.27,958.74,722.43,957.37,724.7,951.72,739.41,950.91,743.33,984.77,733.78,983.69,735.0,999.76,786.4,1006.03,801.88,1091.51,804.56,1117.43,811.1,1179.9,788.74,1211.24,787.71,1204.57,784.75,1238.3,786.62,1211.15,783.26,1238.02,780.08,1202.25,785.42,1230.37,780.75,1170.63,891.84,1175.12,917.17,1302.27,844.26,1327.8,864.55,1448.39,868.7,1500.23,882.93,1472.74,883.69,1525.96,902.95,1481.81,801.91,1525.74,811.12
31,976.62,720.1,959.9,718.86,958.83,719.94,957.65,721.14,959.34,720.99,958.03,723.37,956.56,725.9,951.69,739.2,950.2,744.41,984.58,733.78,983.33,735.35,1002.4,784.24,1002.95,803.27,1092.29,800.0,1116.21,815.59,1179.7,787.82,1210.89,791.08,1203.88,784.12,1238.29,790.33,1210.71,783.15,1237.96,783.61,1202.02,785.74,1229.98,784.35,1172.19,891.04,1174.99,917.56,1302.31,843.73,1327.82,866.18,1449.77,868.98,1500.18,883.17,1473.41,883.81,1526.11,903.26,1481.84,803.36,1525.52,811.73
32,975.58,720.35,959.18,719.2,958.26,720.12,957.22,721.19,958.32,721.92,956.91,724.57,955.26,727.42,951.6,738.96,949.02,746.01,984.08,733.76,982.55,735.72,1006.77,776.95,999.42,808.6,1094.93,793.48,1110.48,822.72,1181.41,785.6,1209.44,794.78,1205.19,783.43,1238.12,793.72,1211.49,782.96,1237.51,786.9,1202.31,785.76,1229.19,787.31,1172.95,887.12,1173.18,919.73,1301.97,840.82,1326.72,867.62,1452.56,869.53,1499.95,883.47,1475.18,883.97,1526.23,903.53,1483.05,804.13,1525.5,813.45
33,974.79,720.39,958.64,719.38,957.82,720.21,956.89,721.21,957.52,722.41,955.98,725.27,954.12,728.42,951.53,738.65,947.76,747.27,983.66,733.67,981.87,735.83,1010.78,770.29,995.82,811.96,1097.44,789.0,1102.42,826.41,1184.22,783.61,1203.11,801.36,1209.97,782.26,1234.28,799.03,1215.43,782.46,1234.41,791.1,1205.79,785.0,1225.18,791.64,1174.87,883.29,1171.81,920.26,1301.98,838.88,1325.54,868.86,1453.48,870.5,1499.69,883.65,1475.34,884.65,1526.26,903.63,1483.24,804.79,1525.46,814.24
34,974.8,720.4,958.63,719.4,957.82,720.22,956.89,721.2,957.49,722.63,955.94,725.64,954.07,728.96,951.56,738.28,947.72,748.12,983.68,733.54,981.88,735.95,1012.17,766.11,995.84,814.95,1098.37,783.87,1103.88,831.75,1186.47,781.47,1201.96,806.27,1212.84,780.78,1233.76,804.43,1217.03,782.2,1233.75,795.35,1207.79,784.5,1224.51,795.62,1175.57,882.21,1171.28,921.06,1301.67,836.53,1324.72,869.29,1453.45,871.33,1499.52,884.01,1475.3,885.43,1526.25,904.14,1483.85,805.46,1525.51,815.53
35,974.6,720.29,958.53,719.28,957.76,720.01,956.86,720.87,957.31,722.6,955.73,725.65,953.85,729.05,951.58,737.57,947.52,748.79,983.69,733.17,981.87,735.95,1014.49,761.2,993.51,820.41,1102.66,779.65,1103.47,838.21,1180.57,779.5,1200.61,811.24,1207.74,780.79,1231.69,810.15,1207.8,782.08,1231.22,799.56,1199.24,784.06,1221.63,799.33,1176.52,878.1,1169.25,921.79,1301.66,833.18,1322.82,872.07,1454.4,871.96,1499.45,884.65,1476.39,885.72,1526.38,904.37,1489.16,805.74,1526.12,816.8
36,974.61,720.13,958.54,719.13,957.78,719.76,956.9,720.52,957.32,722.58,955.75,725.67,953.88,729.19,951.83,736.99,947.56,749.4,983.91,732.75,981.96,735.96,1017.02,755.41,992.4,827.0,1105.78,775.67,1103.58,846.83,1180.29,780.97,1198.26,815.79,1207.37,784.18,1228.82,815.98,1206.54,786.6,1227.17,803.65,1197.41,787.49,1217.15,803.16,1177.28,874.82,1166.8,923.11,1303.96,832.97,1320.97,875.4,1459.25,872.72,1499.34,885.4,1481.44,886.38,1526.76,905.13,1494.32,805.87,1526.29,817.66
37,974.58,719.51,958.55,718.56,957.79,719.13,956.91,719.84,957.33,722.28,955.76,725.51,953.88,729.16,951.84,736.04,947.4,749.26,983.91,731.95,981.94,735.72,1019.67,751.86,988.76,829.37,1104.89,775.61,1094.23,857.19,1176.2,785.57,1189.28,821.84,1201.24,792.79,1216.16,823.8,1201.07,795.6,1215.38,812.18,1191.41,795.6,1205.54,811.49,1178.49,873.44,1165.49,923.57,1306.55,833.66,1319.34,877.52,1464.05,873.27,1499.16,885.8,1486.76,886.84,1526.83,905.35,1499.59,807.89,1526.71,818.52
38,975.53,719.3,959.45,718.16,958.65,718.67,957.71,719.33,958.0,722.19,956.28,725.49,954.26,729.07,952.43,735.49,947.74,749.14,984.6,731.52,982.3,735.67,1021.28,748.35,984.66,831.33,1104.17,774.36,1085.07,863.64,1174.39,789.98,1181.93,826.88,1199.41,798.76,1207.83,829.23,1198.8,801.73,1205.97,817.27,1189.27,801.39,1196.77,816.49,1179.06,869.11,1164.83,923.43,1307.06,833.24,1319.05,878.14,1465.24,873.24,1497.98,885.83,1489.04,886.83,1526.86,905.35,1501.37,808.08,1526.69,818.7
39,977.33,719.12,961.14,717.55,960.32,717.93,959.31,718.47,959.43,721.97,957.58,725.36,955.41,729.04,953.56,734.93,948.34,749.11,986.07,730.92,983.48,735.62,1021.99,745.32,981.48,834.71,1103.7,775.17,1080.74,868.03,1171.26,794.14,1174.37,832.53,1195.02,805.11,1198.95,833.4,1193.23,807.7,1194.69,822.16,1184.53,806.29,1186.96,821.06,1179.54,866.12,1162.24,923.33,1307.48,834.8,1314.49,879.96,1468.64,873.96,1495.48,885.82,1493.69,887.65,1525.83,904.47,1505.62,808.04,1526.15,818.61
