Frame,L0_x,L0_y,L1_x,L1_y,L2_x,L2_y,L3_x,L3_y,L4_x,L4_y,L5_x,L5_y,L6_x,L6_y,L7_x,L7_y,L8_x,L8_y,L9_x,L9_y,L10_x,L10_y,L11_x,L11_y,L12_x,L12_y,L13_x,L13_y,L14_x,L14_y,L15_x,L15_y,L16_x,L16_y,L17_x,L17_y,L18_x,L18_y,L19_x,L19_y,L20_x,L20_y,L21_x,L21_y,L22_x,L22_y,L23_x,L23_y,L24_x,L24_y,L25_x,L25_y,L26_x,L26_y,L27_x,L27_y,L28_x,L28_y,L29_x,L29_y,L30_x,L30_y,L31_x,L31_y,L32_x,L32_y
30,235.27,207.26,240.94,197.45,240.41,196.64,239.74,195.63,240.29,197.07,239.43,196.15,238.41,195.06,227.58,188.86,224.74,188.29,224.98,210.48,224.04,210.03,183.94,210.61,186.29,218.42,171.75,271.37,171.32,295.88,176.87,320.95,182.4,360.15,180.94,337.35,183.84,373.48,182.89,337.94,186.63,373.3,180.56,335.37,185.58,368.84,111.51,313.78,101.2,320.02,138.18,403.38,129.24,426.8,126.95,493.5,113.14,530.66,119.93,500.67,100.33,545.45,166.19,510.64,154.05,546.44
31,235.21,207.28,240.88,197.46,240.37,196.65,239.7,195.63,240.19,197.07,239.32,196.15,238.29,195.06,227.51,188.87,224.59,188.29,224.91,210.52,223.95,210.06,183.85,210.69,186.29,218.43,171.62,272.11,171.31,295.88,176.67,321.18,182.31,360.34,180.11,346.09,183.82,373.72,182.44,340.31,186.63,373.56,180.17,335.27,185.57,369.06,110.76,313.86,101.17,320.21,138.34,403.26,129.24,426.62,126.85,493.47,113.14,530.71,119.76,500.7,100.23,545.65,166.14,510.59,154.24,545.68
32,235.2,207.29,240.87,197.46,240.36,196.65,239.69,195.64,240.17,197.05,239.29,196.11,238.25,195.0,227.44,188.88,224.5,188.28,224.89,210.54,223.91,210.07,183.85,210.94,186.21,218.41,171.62,272.5,171.29,295.89,176.51,321.65,182.0,361.02,179.24,344.07,183.53,374.37,182.41,340.37,186.54,374.08,179.92,335.58,185.45,369.73,110.51,314.1,101.14,320.43,138.91,403.1,129.24,426.47,126.83,493.31,113.14,530.74,119.59,500.71,100.07,545.81,166.09,510.48,154.44,545.19
33,235.22,207.23,240.88,197.38,240.37,196.58,239.7,195.58,240.17,196.92,239.29,195.94,238.25,194.8,227.4,188.84,224.43,188.14,224.89,210.53,223.89,210.03,183.96,211.2,186.13,218.33,171.68,273.23,171.22,295.94,175.97,325.87,181.31,361.61,179.28,344.58,183.04,374.93,182.08,343.47,186.17,374.53,179.25,339.64,184.98,370.3,110.48,314.25,101.09,320.5,139.17,403.08,129.26,426.24,126.83,493.29,113.14,530.75,119.45,500.78,99.95,545.93,166.09,510.44,154.53,545.1
34,235.32,207.18,240.93,197.31,240.41,196.51,239.73,195.51,240.21,196.82,239.32,195.82,238.27,194.66,227.38,188.74,224.43,188.0,224.93,210.51,223.9,209.99,184.1,211.36,185.99,218.06,171.79,273.79,171.22,295.95,176.29,330.18,181.18,362.0,179.48,345.61,182.86,375.41,182.0,345.79,186.01,375.01,179.31,343.56,184.84,370.82,110.47,314.37,101.03,320.51,139.17,403.12,129.25,426.07,126.83,493.14,113.14,530.77,119.43,500.78,99.84,546.04,166.29,510.37,154.52,544.57
35,235.5,207.05,241.0,197.2,240.47,196.4,239.79,195.4,240.25,196.68,239.34,195.65,238.28,194.46,227.37,188.65,224.38,187.78,225.03,210.45,223.93,209.91,184.81,212.02,185.25,217.74,172.83,273.95,171.08,295.96,177.37,332.19,181.03,362.07,180.28,346.82,182.71,375.65,182.07,347.61,185.81,375.27,179.78,345.51,184.65,371.07,110.77,314.75,100.72,320.49,139.19,403.25,129.25,425.85,126.85,493.09,113.11,530.78,119.0,500.84,99.72,546.15,166.71,510.39,154.02,544.54
36,235.61,206.83,241.02,197.04,240.49,196.25,239.8,195.27,240.26,196.5,239.34,195.47,238.28,194.27,227.33,188.56,224.31,187.6,225.08,210.34,223.94,209.77,185.36,212.54,185.06,217.71,173.43,274.13,170.98,296.06,178.5,331.35,180.95,362.09,180.61,346.84,182.6,375.91,182.08,347.81,185.68,375.57,180.04,345.71,184.53,371.33,110.85,315.0,100.52,320.49,139.22,403.5,129.25,425.67,126.87,493.04,113.1,530.79,118.85,500.88,99.65,546.27,167.18,510.39,153.75,544.52
37,235.62,206.71,241.01,196.98,240.48,196.2,239.8,195.23,240.22,196.39,239.27,195.33,238.16,194.1,227.24,188.53,224.02,187.42,225.08,210.28,223.9,209.65,186.03,213.16,184.52,217.36,174.59,274.46,170.25,296.02,179.31,330.68,180.82,362.08,180.8,346.39,182.39,376.12,182.22,347.14,185.51,375.81,180.53,344.62,184.41,371.51,111.13,315.5,100.28,320.48,140.27,403.81,129.26,425.38,127.41,493.06,113.09,530.8,118.83,501.08,99.62,546.34,167.75,510.58,153.73,544.61
38,235.57,206.66,240.91,196.93,240.4,196.17,239.73,195.21,240.02,196.28,239.0,195.18,237.79,193.9,227.13,188.53,223.62,187.28,225.06,210.26,223.74,209.58,187.28,215.03,183.65,216.35,176.09,274.95,169.83,295.55,180.74,330.31,180.82,362.14,182.03,346.05,182.29,376.55,182.66,346.65,185.44,376.34,181.92,344.29,184.39,372.0,112.29,316.47,99.57,320.18,144.34,404.35,129.32,425.09,129.46,493.11,113.1,530.8,118.84,501.71,99.61,546.35,170.1,511.39,153.75,545.8
39,235.56,206.66,240.89,196.92,240.39,196.16,239.72,195.21,239.97,196.23,238.93,195.11,237.69,193.81,227.11,188.53,223.54,187.21,225.03,210.27,223.63,209.57,187.42,215.58,183.16,216.09,176.91,275.04,169.59,295.32,182.01,328.76,180.59,362.13,182.76,345.08,181.66,376.75,183.54,343.83,185.09,376.6,182.74,343.12,184.1,372.17,112.97,317.29,99.3,320.13,144.7,405.01,129.34,425.07,130.29,493.21,113.09,530.8,118.9,501.98,99.62,546.34,170.23,511.74,153.42,545.91
40,235.56,206.66,240.88,196.91,240.38,196.16,239.71,195.21,239.93,196.21,238.88,195.08,237.62,193.77,227.11,188.55,223.49,187.19,225.03,210.29,223.59,209.57,188.05,216.18,182.31,215.88,177.65,275.18,169.26,294.98,182.0,328.75,180.32,362.15,182.9,342.9,181.05,377.07,183.54,343.52,184.7,376.99,182.9,341.72,183.74,372.44,113.49,317.69,99.2,320.07,144.35,405.32,129.33,425.07,130.24,493.24,113.09,530.79,118.78,501.99,99.62,546.34,170.11,511.82,152.95,545.85
41,235.5,206.65,240.82,196.9,240.33,196.15,239.67,195.21,239.81,196.18,238.71,195.04,237.4,193.71,227.09,188.56,223.39,187.15,225.02,210.31,223.5,209.57,189.0,217.26,181.2,215.65,178.39,275.85,169.17,294.58,182.09,328.75,180.18,362.15,183.1,341.79,180.75,377.21,183.57,343.37,184.58,377.18,183.08,340.9,183.64,372.58,114.27,318.23,99.0,319.9,144.18,405.78,129.32,425.1,130.1,493.31,113.08,530.8,118.28,502.13,99.62,546.34,169.91,512.11,152.46,545.92
42,235.48,206.59,240.81,196.83,240.32,196.1,239.67,195.18,239.72,196.04,238.57,194.88,237.2,193.52,227.09,188.58,223.32,187.1,225.02,210.31,223.4,209.54,190.54,218.3,180.19,215.36,179.17,276.93,169.16,294.38,182.11,330.65,179.88,362.16,183.28,342.55,180.17,377.45,183.61,345.03,184.17,377.47,183.04,342.73,183.25,372.73,115.13,318.45,98.4,319.41,143.97,405.98,129.3,425.07,130.0,493.42,113.04,530.81,118.04,502.17,99.61,546.34,169.86,512.65,151.95,546.29
43,235.46,206.48,240.78,196.7,240.31,196.0,239.66,195.11,239.63,195.84,238.43,194.64,237.0,193.26,227.1,188.58,223.23,186.98,225.04,210.29,223.35,209.44,191.65,219.34,179.35,214.4,180.51,277.58,169.07,293.08,182.45,330.58,179.67,361.8,183.44,342.62,179.54,377.43,183.65,345.22,183.78,377.45,183.05,342.79,182.97,372.58,115.96,318.9,97.9,318.72,144.45,406.02,129.22,424.77,130.07,493.47,113.0,530.8,117.8,502.15,99.61,546.3,169.79,513.12,151.66,546.46
44,235.43,206.4,240.77,196.64,240.31,195.96,239.66,195.08,239.55,195.73,238.32,194.53,236.85,193.14,227.14,188.58,223.2,186.87,225.06,210.26,223.31,209.33,192.68,219.8,178.56,213.89,181.81,278.05,169.09,292.81,182.8,330.53,179.62,361.74,183.56,342.77,179.36,377.49,183.67,345.36,183.64,377.5,183.05,342.8,182.86,372.57,116.87,319.06,97.47,317.95,145.62,406.01,129.18,424.3,130.44,493.55,112.98,530.75,117.79,502.15,99.67,546.17,169.75,513.49,151.38,546.72
45,235.42,206.19,240.77,196.52,240.31,195.87,239.69,195.02,239.5,195.56,238.24,194.32,236.73,192.91,227.27,188.54,223.18,186.61,225.14,210.1,223.3,209.06,193.92,219.92,177.74,213.53,183.17,278.73,169.11,292.8,183.5,332.52,179.54,361.75,184.04,347.67,179.27,377.57,184.08,348.75,183.53,377.6,183.12,344.65,182.77,372.61,117.72,319.07,96.81,317.19,146.45,406.0,129.12,423.9,130.73,493.69,112.97,530.71,117.79,502.16,99.76,546.02,169.77,513.95,151.29,546.96
